year,month,circle,type_of_connection,service_provider,value,unit,notes
2025,March,Rajasthan,wireless,MTNL,,value in absolute number,
2025,March,Tamil Nadu,wireless,MTNL,,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,MTNL,,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,MTNL,,value in absolute number,
2025,March,West Bengal,wireless,MTNL,,value in absolute number,
2025,March,All India,wireless,MTNL,998229,value in absolute number,
2025,March,Andhra Pradesh,wireless,Reliance Jio,31776074,value in absolute number,
2025,March,Assam,wireless,Reliance Jio,9726580,value in absolute number,
2025,March,Bihar,wireless,Reliance Jio,41730845,value in absolute number,
2025,March,Delhi,wireless,Reliance Jio,19802703,value in absolute number,
2025,March,Gujarat,wireless,Reliance Jio,30117232,value in absolute number,
2025,March,Haryana,wireless,Reliance Jio,8303012,value in absolute number,
2025,March,Himachal Pradesh,wireless,Reliance Jio,3216541,value in absolute number,
2025,March,Jammu and Kashmir,wireless,Reliance Jio,4873069,value in absolute number,
2025,March,Karnataka,wireless,Reliance Jio,24786795,value in absolute number,
2025,March,Kerala,wireless,Reliance Jio,10699305,value in absolute number,
2025,March,Kolkata,wireless,Reliance Jio,10710207,value in absolute number,
2025,March,Madhya Pradesh,wireless,Reliance Jio,45194727,value in absolute number,
2025,March,Maharashtra,wireless,Reliance Jio,42565948,value in absolute number,
2025,March,Mumbai,wireless,Reliance Jio,13172111,value in absolute number,
2025,March,North East,wireless,Reliance Jio,4305145,value in absolute number,
2025,March,Odisha,wireless,Reliance Jio,15956645,value in absolute number,
2025,March,Punjab,wireless,Reliance Jio,11347016,value in absolute number,
2025,March,Rajasthan,wireless,Reliance Jio,26378934,value in absolute number,
2025,March,Tamil Nadu,wireless,Reliance Jio,24608262,value in absolute number,
2025,March,Uttar Pradesh (East),wireless,Reliance Jio,41697984,value in absolute number,
2025,March,Uttar Pradesh (West),wireless,Reliance Jio,24399462,value in absolute number,
2025,March,West Bengal,wireless,Reliance Jio,24395255,value in absolute number,
2025,March,All India,wireless,Reliance Jio,469763852,value in absolute number,
2025,February,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33860754,value in absolute number,
2025,February,Assam,wireless,Bharti Airtel (Including Tata Tele.),12055507,value in absolute number,
2025,February,Bihar,wireless,Bharti Airtel (Including Tata Tele.),40895126,value in absolute number,
2025,February,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18682396,value in absolute number,
2025,February,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12352213,value in absolute number,
2025,February,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7191413,value in absolute number,
2025,February,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3569833,value in absolute number,
2025,February,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6132818,value in absolute number,
2025,February,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32280135,value in absolute number,
2025,February,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8892846,value in absolute number,
2025,February,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5461847,value in absolute number,
2025,February,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16591031,value in absolute number,
2025,February,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22587314,value in absolute number,
2025,February,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10129508,value in absolute number,
2025,February,North East,wireless,Bharti Airtel (Including Tata Tele.),6297679,value in absolute number,
2025,February,Odisha,wireless,Bharti Airtel (Including Tata Tele.),11810695,value in absolute number,
2025,February,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12500330,value in absolute number,
2025,February,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23346647,value in absolute number,
2025,February,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30067680,value in absolute number,
2025,February,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36539391,value in absolute number,
2025,February,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18893870,value in absolute number,
2025,February,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18414246,value in absolute number,
2025,February,All India,wireless,Bharti Airtel (Including Tata Tele.),388553279,value in absolute number,
2025,February,Andhra Pradesh,wireless,Reliance Communications,0,value in absolute number,
2025,February,Assam,wireless,Reliance Communications,0,value in absolute number,
2025,February,Bihar,wireless,Reliance Communications,0,value in absolute number,
2025,February,Delhi,wireless,Reliance Communications,1,value in absolute number,
2025,February,Gujarat,wireless,Reliance Communications,13,value in absolute number,
2025,February,Haryana,wireless,Reliance Communications,0,value in absolute number,
2025,February,Himachal Pradesh,wireless,Reliance Communications,0,value in absolute number,
